year,mon,day,yield
1919,1,1,5.35
1919,2,1,5.35
1919,3,1,5.39
1919,4,1,5.44
1919,5,1,5.39
1919,6,1,5.4
1919,7,1,5.44
1919,8,1,5.56
1919,9,1,5.6
1919,10,1,5.54
1919,11,1,5.66
1919,12,1,5.73
1920,1,1,5.75
1920,2,1,5.86
1920,3,1,5.92
1920,4,1,6.04
1920,5,1,6.25
1920,6,1,6.38
1920,7,1,6.34
1920,8,1,6.3
1920,9,1,6.22
1920,10,1,6.05
1920,11,1,6.08
1920,12,1,6.26
1921,1,1,6.14
1921,2,1,6.08
1921,3,1,6.08
1921,4,1,6.06
1921,5,1,6.11
1921,6,1,6.18
1921,7,1,6.12
1921,8,1,5.99
1921,9,1,5.93
1921,10,1,5.84
1921,11,1,5.6
1921,12,1,5.5
1922,1,1,5.34
1922,2,1,5.29
1922,3,1,5.23
1922,4,1,5.15
1922,5,1,5.13
1922,6,1,5.08
1922,7,1,5
1922,8,1,4.96
1922,9,1,4.93
1922,10,1,4.97
1922,11,1,5.09
1922,12,1,5.08
1923,1,1,5.04
1923,2,1,5.07
1923,3,1,5.13
1923,4,1,5.22
1923,5,1,5.16
1923,6,1,5.15
1923,7,1,5.14
1923,8,1,5.08
1923,9,1,5.12
1923,10,1,5.11
1923,11,1,5.09
1923,12,1,5.09
1924,1,1,5.09
1924,2,1,5.09
1924,3,1,5.1
1924,4,1,5.08
1924,5,1,5.04
1924,6,1,4.99
1924,7,1,4.95
1924,8,1,4.95
1924,9,1,4.95
1924,10,1,4.92
1924,11,1,4.94
1924,12,1,4.95
1925,1,1,4.95
1925,2,1,4.95
1925,3,1,4.91
1925,4,1,4.87
1925,5,1,4.83
1925,6,1,4.83
1925,7,1,4.87
1925,8,1,4.9
1925,9,1,4.87
1925,10,1,4.85
1925,11,1,4.84
1925,12,1,4.85
1926,1,1,4.82
1926,2,1,4.77
1926,3,1,4.79
1926,4,1,4.74
1926,5,1,4.71
1926,6,1,4.72
1926,7,1,4.71
1926,8,1,4.72
1926,9,1,4.72
1926,10,1,4.71
1926,11,1,4.68
1926,12,1,4.68
1927,1,1,4.66
1927,2,1,4.67
1927,3,1,4.62
1927,4,1,4.58
1927,5,1,4.57
1927,6,1,4.58
1927,7,1,4.6
1927,8,1,4.56
1927,9,1,4.54
1927,10,1,4.51
1927,11,1,4.49
1927,12,1,4.46
1928,1,1,4.46
1928,2,1,4.46
1928,3,1,4.46
1928,4,1,4.46
1928,5,1,4.49
1928,6,1,4.57
1928,7,1,4.61
1928,8,1,4.64
1928,9,1,4.61
1928,10,1,4.61
1928,11,1,4.58
1928,12,1,4.61
1929,1,1,4.62
1929,2,1,4.66
1929,3,1,4.7
1929,4,1,4.69
1929,5,1,4.7
1929,6,1,4.77
1929,7,1,4.77
1929,8,1,4.79
1929,9,1,4.8
1929,10,1,4.77
1929,11,1,4.76
1929,12,1,4.67
1930,1,1,4.66
1930,2,1,4.69
1930,3,1,4.62
1930,4,1,4.6
1930,5,1,4.6
1930,6,1,4.57
1930,7,1,4.52
1930,8,1,4.47
1930,9,1,4.42
1930,10,1,4.42
1930,11,1,4.47
1930,12,1,4.52
1931,1,1,4.42
1931,2,1,4.43
1931,3,1,4.39
1931,4,1,4.4
1931,5,1,4.37
1931,6,1,4.36
1931,7,1,4.36
1931,8,1,4.4
1931,9,1,4.55
1931,10,1,4.99
1931,11,1,4.94
1931,12,1,5.32
1932,1,1,5.2
1932,2,1,5.23
1932,3,1,4.98
1932,4,1,5.17
1932,5,1,5.36
1932,6,1,5.41
1932,7,1,5.26
1932,8,1,4.91
1932,9,1,4.7
1932,10,1,4.64
1932,11,1,4.63
1932,12,1,4.59
1933,1,1,4.44
1933,2,1,4.48
1933,3,1,4.68
1933,4,1,4.78
1933,5,1,4.63
1933,6,1,4.46
1933,7,1,4.36
1933,8,1,4.3
1933,9,1,4.36
1933,10,1,4.34
1933,11,1,4.54
1933,12,1,4.5
1934,1,1,4.35
1934,2,1,4.2
1934,3,1,4.13
1934,4,1,4.07
1934,5,1,4.01
1934,6,1,3.93
1934,7,1,3.89
1934,8,1,3.93
1934,9,1,3.96
1934,10,1,3.9
1934,11,1,3.86
1934,12,1,3.81
1935,1,1,3.77
1935,2,1,3.69
1935,3,1,3.67
1935,4,1,3.66
1935,5,1,3.65
1935,6,1,3.61
1935,7,1,3.56
1935,8,1,3.6
1935,9,1,3.59
1935,10,1,3.52
1935,11,1,3.47
1935,12,1,3.44
1936,1,1,3.37
1936,2,1,3.32
1936,3,1,3.29
1936,4,1,3.29
1936,5,1,3.27
1936,6,1,3.24
1936,7,1,3.23
1936,8,1,3.21
1936,9,1,3.18
1936,10,1,3.18
1936,11,1,3.15
1936,12,1,3.1
1937,1,1,3.1
1937,2,1,3.22
1937,3,1,3.32
1937,4,1,3.42
1937,5,1,3.33
1937,6,1,3.28
1937,7,1,3.25
1937,8,1,3.24
1937,9,1,3.28
1937,10,1,3.27
1937,11,1,3.24
1937,12,1,3.21
1938,1,1,3.17
1938,2,1,3.2
1938,3,1,3.22
1938,4,1,3.3
1938,5,1,3.22
1938,6,1,3.26
1938,7,1,3.22
1938,8,1,3.18
1938,9,1,3.21
1938,10,1,3.15
1938,11,1,3.1
1938,12,1,3.08
1939,1,1,3.01
1939,2,1,3
1939,3,1,2.99
1939,4,1,3.02
1939,5,1,2.97
1939,6,1,2.92
1939,7,1,2.89
1939,8,1,2.93
1939,9,1,3.25
1939,10,1,3.15
1939,11,1,3
1939,12,1,2.94
1940,1,1,2.88
1940,2,1,2.86
1940,3,1,2.84
1940,4,1,2.82
1940,5,1,2.93
1940,6,1,2.96
1940,7,1,2.88
1940,8,1,2.85
1940,9,1,2.82
1940,10,1,2.79
1940,11,1,2.75
1940,12,1,2.71
1941,1,1,2.75
1941,2,1,2.78
1941,3,1,2.8
1941,4,1,2.82
1941,5,1,2.81
1941,6,1,2.77
1941,7,1,2.74
1941,8,1,2.74
1941,9,1,2.75
1941,10,1,2.73
1941,11,1,2.72
1941,12,1,2.8
1942,1,1,2.83
1942,2,1,2.85
1942,3,1,2.86
1942,4,1,2.83
1942,5,1,2.85
1942,6,1,2.85
1942,7,1,2.83
1942,8,1,2.81
1942,9,1,2.8
1942,10,1,2.8
1942,11,1,2.79
1942,12,1,2.81
1943,1,1,2.79
1943,2,1,2.77
1943,3,1,2.76
1943,4,1,2.76
1943,5,1,2.74
1943,6,1,2.72
1943,7,1,2.69
1943,8,1,2.69
1943,9,1,2.69
1943,10,1,2.7
1943,11,1,2.71
1943,12,1,2.74
1944,1,1,2.72
1944,2,1,2.74
1944,3,1,2.74
1944,4,1,2.74
1944,5,1,2.73
1944,6,1,2.73
1944,7,1,2.72
1944,8,1,2.71
1944,9,1,2.72
1944,10,1,2.72
1944,11,1,2.72
1944,12,1,2.7
1945,1,1,2.69
1945,2,1,2.65
1945,3,1,2.62
1945,4,1,2.61
1945,5,1,2.62
1945,6,1,2.61
1945,7,1,2.6
1945,8,1,2.61
1945,9,1,2.62
1945,10,1,2.62
1945,11,1,2.62
1945,12,1,2.61
1946,1,1,2.54
1946,2,1,2.48
1946,3,1,2.47
1946,4,1,2.46
1946,5,1,2.51
1946,6,1,2.49
1946,7,1,2.48
1946,8,1,2.51
1946,9,1,2.58
1946,10,1,2.6
1946,11,1,2.59
1946,12,1,2.61
1947,1,1,2.57
1947,2,1,2.55
1947,3,1,2.55
1947,4,1,2.53
1947,5,1,2.53
1947,6,1,2.55
1947,7,1,2.55
1947,8,1,2.56
1947,9,1,2.61
1947,10,1,2.7
1947,11,1,2.77
1947,12,1,2.86
1948,1,1,2.86
1948,2,1,2.85
1948,3,1,2.83
1948,4,1,2.78
1948,5,1,2.76
1948,6,1,2.76
1948,7,1,2.81
1948,8,1,2.84
1948,9,1,2.84
1948,10,1,2.84
1948,11,1,2.84
1948,12,1,2.79
1949,1,1,2.71
1949,2,1,2.71
1949,3,1,2.7
1949,4,1,2.7
1949,5,1,2.71
1949,6,1,2.71
1949,7,1,2.67
1949,8,1,2.62
1949,9,1,2.6
1949,10,1,2.61
1949,11,1,2.6
1949,12,1,2.58
1950,1,1,2.57
1950,2,1,2.58
1950,3,1,2.58
1950,4,1,2.6
1950,5,1,2.61
1950,6,1,2.62
1950,7,1,2.65
1950,8,1,2.61
1950,9,1,2.64
1950,10,1,2.67
1950,11,1,2.67
1950,12,1,2.67
1951,1,1,2.66
1951,2,1,2.66
1951,3,1,2.78
1951,4,1,2.87
1951,5,1,2.89
1951,6,1,2.94
1951,7,1,2.94
1951,8,1,2.88
1951,9,1,2.84
1951,10,1,2.89
1951,11,1,2.96
1951,12,1,3.01
1952,1,1,2.98
1952,2,1,2.93
1952,3,1,2.96
1952,4,1,2.93
1952,5,1,2.93
1952,6,1,2.94
1952,7,1,2.95
1952,8,1,2.94
1952,9,1,2.95
1952,10,1,3.01
1952,11,1,2.98
1952,12,1,2.97
1953,1,1,3.02
1953,2,1,3.07
1953,3,1,3.12
1953,4,1,3.23
1953,5,1,3.34
1953,6,1,3.4
1953,7,1,3.28
1953,8,1,3.24
1953,9,1,3.29
1953,10,1,3.16
1953,11,1,3.11
1953,12,1,3.13
1954,1,1,3.06
1954,2,1,2.95
1954,3,1,2.86
1954,4,1,2.85
1954,5,1,2.88
1954,6,1,2.9
1954,7,1,2.89
1954,8,1,2.87
1954,9,1,2.89
1954,10,1,2.87
1954,11,1,2.89
1954,12,1,2.9
1955,1,1,2.93
1955,2,1,2.93
1955,3,1,3.02
1955,4,1,3.01
1955,5,1,3.04
1955,6,1,3.05
1955,7,1,3.06
1955,8,1,3.11
1955,9,1,3.13
1955,10,1,3.1
1955,11,1,3.1
1955,12,1,3.15
1956,1,1,3.11
1956,2,1,3.08
1956,3,1,3.1
1956,4,1,3.24
1956,5,1,3.28
1956,6,1,3.26
1956,7,1,3.28
1956,8,1,3.43
1956,9,1,3.56
1956,10,1,3.59
1956,11,1,3.69
1956,12,1,3.75
1957,1,1,3.77
1957,2,1,3.67
1957,3,1,3.66
1957,4,1,3.67
1957,5,1,3.74
1957,6,1,3.91
1957,7,1,3.99
1957,8,1,4.1
1957,9,1,4.12
1957,10,1,4.1
1957,11,1,4.08
1957,12,1,3.81
1958,1,1,3.6
1958,2,1,3.59
1958,3,1,3.63
1958,4,1,3.6
1958,5,1,3.57
1958,6,1,3.57
1958,7,1,3.67
1958,8,1,3.85
1958,9,1,4.09
1958,10,1,4.11
1958,11,1,4.09
1958,12,1,4.08
1959,1,1,4.12
1959,2,1,4.14
1959,3,1,4.13
1959,4,1,4.23
1959,5,1,4.37
1959,6,1,4.46
1959,7,1,4.47
1959,8,1,4.43
1959,9,1,4.52
1959,10,1,4.57
1959,11,1,4.56
1959,12,1,4.58
1960,1,1,4.61
1960,2,1,4.56
1960,3,1,4.49
1960,4,1,4.45
1960,5,1,4.46
1960,6,1,4.45
1960,7,1,4.41
1960,8,1,4.28
1960,9,1,4.25
1960,10,1,4.3
1960,11,1,4.31
1960,12,1,4.35
1961,1,1,4.32
1961,2,1,4.27
1961,3,1,4.22
1961,4,1,4.25
1961,5,1,4.27
1961,6,1,4.33
1961,7,1,4.41
1961,8,1,4.45
1961,9,1,4.45
1961,10,1,4.42
1961,11,1,4.39
1961,12,1,4.42
1962,1,1,4.42
1962,2,1,4.42
1962,3,1,4.39
1962,4,1,4.33
1962,5,1,4.28
1962,6,1,4.28
1962,7,1,4.34
1962,8,1,4.35
1962,9,1,4.32
1962,10,1,4.28
1962,11,1,4.25
1962,12,1,4.24
1963,1,1,4.21
1963,2,1,4.19
1963,3,1,4.19
1963,4,1,4.21
1963,5,1,4.22
1963,6,1,4.23
1963,7,1,4.26
1963,8,1,4.29
1963,9,1,4.31
1963,10,1,4.32
1963,11,1,4.33
1963,12,1,4.35
1964,1,1,4.39
1964,2,1,4.36
1964,3,1,4.38
1964,4,1,4.4
1964,5,1,4.41
1964,6,1,4.41
1964,7,1,4.4
1964,8,1,4.41
1964,9,1,4.42
1964,10,1,4.42
1964,11,1,4.43
1964,12,1,4.44
1965,1,1,4.43
1965,2,1,4.41
1965,3,1,4.42
1965,4,1,4.43
1965,5,1,4.44
1965,6,1,4.46
1965,7,1,4.48
1965,8,1,4.49
1965,9,1,4.52
1965,10,1,4.56
1965,11,1,4.6
1965,12,1,4.68
1966,1,1,4.74
1966,2,1,4.78
1966,3,1,4.92
1966,4,1,4.96
1966,5,1,4.98
1966,6,1,5.07
1966,7,1,5.16
1966,8,1,5.31
1966,9,1,5.49
1966,10,1,5.41
1966,11,1,5.35
1966,12,1,5.39
1967,1,1,5.2
1967,2,1,5.03
1967,3,1,5.13
1967,4,1,5.11
1967,5,1,5.24
1967,6,1,5.44
1967,7,1,5.58
1967,8,1,5.62
1967,9,1,5.65
1967,10,1,5.82
1967,11,1,6.07
1967,12,1,6.19
1968,1,1,6.17
1968,2,1,6.1
1968,3,1,6.11
1968,4,1,6.21
1968,5,1,6.27
1968,6,1,6.28
1968,7,1,6.24
1968,8,1,6.02
1968,9,1,5.97
1968,10,1,6.09
1968,11,1,6.19
1968,12,1,6.45
1969,1,1,6.59
1969,2,1,6.66
1969,3,1,6.85
1969,4,1,6.89
1969,5,1,6.79
1969,6,1,6.98
1969,7,1,7.08
1969,8,1,6.97
1969,9,1,7.14
1969,10,1,7.33
1969,11,1,7.35
1969,12,1,7.72
1970,1,1,7.91
1970,2,1,7.93
1970,3,1,7.84
1970,4,1,7.83
1970,5,1,8.11
1970,6,1,8.48
1970,7,1,8.44
1970,8,1,8.13
1970,9,1,8.09
1970,10,1,8.03
1970,11,1,8.05
1970,12,1,7.64
1971,1,1,7.36
1971,2,1,7.08
1971,3,1,7.21
1971,4,1,7.25
1971,5,1,7.53
1971,6,1,7.64
1971,7,1,7.64
1971,8,1,7.59
1971,9,1,7.44
1971,10,1,7.39
1971,11,1,7.26
1971,12,1,7.25
1972,1,1,7.19
1972,2,1,7.27
1972,3,1,7.24
1972,4,1,7.3
1972,5,1,7.3
1972,6,1,7.23
1972,7,1,7.21
1972,8,1,7.19
1972,9,1,7.22
1972,10,1,7.21
1972,11,1,7.12
1972,12,1,7.08
1973,1,1,7.15
1973,2,1,7.22
1973,3,1,7.29
1973,4,1,7.26
1973,5,1,7.29
1973,6,1,7.37
1973,7,1,7.45
1973,8,1,7.68
1973,9,1,7.63
1973,10,1,7.6
1973,11,1,7.67
1973,12,1,7.68
1974,1,1,7.83
1974,2,1,7.85
1974,3,1,8.01
1974,4,1,8.25
1974,5,1,8.37
1974,6,1,8.47
1974,7,1,8.72
1974,8,1,9
1974,9,1,9.24
1974,10,1,9.27
1974,11,1,8.89
1974,12,1,8.89
1975,1,1,8.83
1975,2,1,8.62
1975,3,1,8.67
1975,4,1,8.95
1975,5,1,8.9
1975,6,1,8.77
1975,7,1,8.84
1975,8,1,8.95
1975,9,1,8.95
1975,10,1,8.86
1975,11,1,8.78
1975,12,1,8.79
1976,1,1,8.6
1976,2,1,8.55
1976,3,1,8.52
1976,4,1,8.4
1976,5,1,8.58
1976,6,1,8.62
1976,7,1,8.56
1976,8,1,8.45
1976,9,1,8.38
1976,10,1,8.32
1976,11,1,8.25
1976,12,1,7.98
1977,1,1,7.96
1977,2,1,8.04
1977,3,1,8.1
1977,4,1,8.04
1977,5,1,8.05
1977,6,1,7.95
1977,7,1,7.94
1977,8,1,7.98
1977,9,1,7.92
1977,10,1,8.04
1977,11,1,8.08
1977,12,1,8.19
1978,1,1,8.41
1978,2,1,8.47
1978,3,1,8.47
1978,4,1,8.56
1978,5,1,8.69
1978,6,1,8.76
1978,7,1,8.88
1978,8,1,8.69
1978,9,1,8.69
1978,10,1,8.89
1978,11,1,9.03
1978,12,1,9.16
1979,1,1,9.25
1979,2,1,9.26
1979,3,1,9.37
1979,4,1,9.38
1979,5,1,9.5
1979,6,1,9.29
1979,7,1,9.2
1979,8,1,9.23
1979,9,1,9.44
1979,10,1,10.13
1979,11,1,10.76
1979,12,1,10.74
1980,1,1,11.09
1980,2,1,12.38
1980,3,1,12.96
1980,4,1,12.04
1980,5,1,10.99
1980,6,1,10.58
1980,7,1,11.07
1980,8,1,11.64
1980,9,1,12.02
1980,10,1,12.31
1980,11,1,12.97
1980,12,1,13.21
1981,1,1,12.81
1981,2,1,13.35
1981,3,1,13.33
1981,4,1,13.88
1981,5,1,14.32
1981,6,1,13.75
1981,7,1,14.38
1981,8,1,14.89
1981,9,1,15.49
1981,10,1,15.4
1981,11,1,14.22
1981,12,1,14.23
1982,1,1,15.18
1982,2,1,15.27
1982,3,1,14.58
1982,4,1,14.46
1982,5,1,14.26
1982,6,1,14.81
1982,7,1,14.61
1982,8,1,13.71
1982,9,1,12.94
1982,10,1,12.12
1982,11,1,11.68
1982,12,1,11.83
1983,1,1,11.79
1983,2,1,12.01
1983,3,1,11.73
1983,4,1,11.51
1983,5,1,11.46
1983,6,1,11.74
1983,7,1,12.15
1983,8,1,12.51
1983,9,1,12.37
1983,10,1,12.25
1983,11,1,12.41
1983,12,1,12.57
1984,1,1,12.2
1984,2,1,12.08
1984,3,1,12.57
1984,4,1,12.81
1984,5,1,13.28
1984,6,1,13.55
1984,7,1,13.44
1984,8,1,12.87
1984,9,1,12.66
1984,10,1,12.63
1984,11,1,12.29
1984,12,1,12.13
1985,1,1,12.08
1985,2,1,12.13
1985,3,1,12.56
1985,4,1,12.23
1985,5,1,11.72
1985,6,1,10.94
1985,7,1,10.97
1985,8,1,11.05
1985,9,1,11.07
1985,10,1,11.02
1985,11,1,10.55
1985,12,1,10.16
1986,1,1,10.05
1986,2,1,9.67
1986,3,1,9
1986,4,1,8.79
1986,5,1,9.09
1986,6,1,9.13
1986,7,1,8.88
1986,8,1,8.72
1986,9,1,8.89
1986,10,1,8.86
1986,11,1,8.68
1986,12,1,8.49
1987,1,1,8.36
1987,2,1,8.38
1987,3,1,8.36
1987,4,1,8.85
1987,5,1,9.33
1987,6,1,9.32
1987,7,1,9.42
1987,8,1,9.67
1987,9,1,10.18
1987,10,1,10.52
1987,11,1,10.01
1987,12,1,10.11
1988,1,1,9.88
1988,2,1,9.4
1988,3,1,9.39
1988,4,1,9.67
1988,5,1,9.9
1988,6,1,9.86
1988,7,1,9.96
1988,8,1,10.11
1988,9,1,9.82
1988,10,1,9.51
1988,11,1,9.45
1988,12,1,9.57
1989,1,1,9.62
1989,2,1,9.64
1989,3,1,9.8
1989,4,1,9.79
1989,5,1,9.57
1989,6,1,9.1
1989,7,1,8.93
1989,8,1,8.96
1989,9,1,9.01
1989,10,1,8.92
1989,11,1,8.89
1989,12,1,8.86
1990,1,1,8.99
1990,2,1,9.22
1990,3,1,9.37
1990,4,1,9.46
1990,5,1,9.47
1990,6,1,9.26
1990,7,1,9.24
1990,8,1,9.41
1990,9,1,9.56
1990,10,1,9.53
1990,11,1,9.3
1990,12,1,9.05
1991,1,1,9.04
1991,2,1,8.83
1991,3,1,8.93
1991,4,1,8.86
1991,5,1,8.86
1991,6,1,9.01
1991,7,1,9
1991,8,1,8.75
1991,9,1,8.61
1991,10,1,8.55
1991,11,1,8.48
1991,12,1,8.31
1992,1,1,8.2
1992,2,1,8.29
1992,3,1,8.35
1992,4,1,8.33
1992,5,1,8.28
1992,6,1,8.22
1992,7,1,8.07
1992,8,1,7.95
1992,9,1,7.92
1992,10,1,7.99
1992,11,1,8.1
1992,12,1,7.98
1993,1,1,7.91
1993,2,1,7.71
1993,3,1,7.58
1993,4,1,7.46
1993,5,1,7.43
1993,6,1,7.33
1993,7,1,7.17
1993,8,1,6.85
1993,9,1,6.66
1993,10,1,6.67
1993,11,1,6.93
1993,12,1,6.93
1994,1,1,6.92
1994,2,1,7.08
1994,3,1,7.48
1994,4,1,7.88
1994,5,1,7.99
1994,6,1,7.97
1994,7,1,8.11
1994,8,1,8.07
1994,9,1,8.34
1994,10,1,8.57
1994,11,1,8.68
1994,12,1,8.46
1995,1,1,8.46
1995,2,1,8.26
1995,3,1,8.12
1995,4,1,8.03
1995,5,1,7.65
1995,6,1,7.3
1995,7,1,7.41
1995,8,1,7.57
1995,9,1,7.32
1995,10,1,7.12
1995,11,1,7.02
1995,12,1,6.82
1996,1,1,6.81
1996,2,1,6.99
1996,3,1,7.35
1996,4,1,7.5
1996,5,1,7.62
1996,6,1,7.71
1996,7,1,7.65
1996,8,1,7.46
1996,9,1,7.66
1996,10,1,7.39
1996,11,1,7.1
1996,12,1,7.2
1997,1,1,7.42
1997,2,1,7.31
1997,3,1,7.55
1997,4,1,7.73
1997,5,1,7.58
1997,6,1,7.41
1997,7,1,7.14
1997,8,1,7.22
1997,9,1,7.15
1997,10,1,7
1997,11,1,6.87
1997,12,1,6.76
1998,1,1,6.61
1998,2,1,6.67
1998,3,1,6.72
1998,4,1,6.69
1998,5,1,6.69
1998,6,1,6.53
1998,7,1,6.55
1998,8,1,6.52
1998,9,1,6.4
1998,10,1,6.37
1998,11,1,6.41
1998,12,1,6.22
1999,1,1,6.24
1999,2,1,6.4
1999,3,1,6.62
1999,4,1,6.64
1999,5,1,6.93
1999,6,1,7.23
1999,7,1,7.19
1999,8,1,7.4
1999,9,1,7.39
1999,10,1,7.55
1999,11,1,7.36
1999,12,1,7.55
2000,1,1,7.78
2000,2,1,7.68
2000,3,1,7.68
2000,4,1,7.64
2000,5,1,7.99
2000,6,1,7.67
2000,7,1,7.65
2000,8,1,7.55
2000,9,1,7.62
2000,10,1,7.55
2000,11,1,7.45
2000,12,1,7.21
2001,1,1,7.15
2001,2,1,7.1
2001,3,1,6.98
2001,4,1,7.2
2001,5,1,7.29
2001,6,1,7.18
2001,7,1,7.13
2001,8,1,7.02
2001,9,1,7.17
2001,10,1,7.03
2001,11,1,6.97
2001,12,1,6.77
2002,1,1,6.55
2002,2,1,6.51
2002,3,1,6.81
2002,4,1,6.76
2002,5,1,6.75
2002,6,1,6.63
2002,7,1,6.53
2002,8,1,6.37
2002,9,1,6.15
2002,10,1,6.32
2002,11,1,6.31
2002,12,1,6.21
2003,1,1,6.17
2003,2,1,5.95
2003,3,1,5.89
2003,4,1,5.74
2003,5,1,5.22
2003,6,1,4.97
2003,7,1,5.49
2003,8,1,5.88
2003,9,1,5.72
2003,10,1,5.7
2003,11,1,5.65
2003,12,1,5.62
2004,1,1,5.54
2004,2,1,5.5
2004,3,1,5.33
2004,4,1,5.73
2004,5,1,6.04
2004,6,1,6.01
2004,7,1,5.82
2004,8,1,5.65
2004,9,1,5.46
2004,10,1,5.47
2004,11,1,5.52
2004,12,1,5.47
2005,1,1,5.36
2005,2,1,5.2
2005,3,1,5.4
2005,4,1,5.33
2005,5,1,5.15
2005,6,1,4.96
2005,7,1,5.06
2005,8,1,5.09
2005,9,1,5.13
2005,10,1,5.35
2005,11,1,5.42
2005,12,1,5.37
2006,1,1,5.29
2006,2,1,5.35
2006,3,1,5.53
2006,4,1,5.84
2006,5,1,5.95
2006,6,1,5.89
2006,7,1,5.85
2006,8,1,5.68
2006,9,1,5.51
2006,10,1,5.51
2006,11,1,5.33
2006,12,1,5.32
2007,1,1,5.4
2007,2,1,5.39
2007,3,1,5.3
2007,4,1,5.47
2007,5,1,5.47
2007,6,1,5.79
2007,7,1,5.73
2007,8,1,5.79
2007,9,1,5.74
2007,10,1,5.66
2007,11,1,5.44
2007,12,1,5.49
2008,1,1,5.33
2008,2,1,5.53
2008,3,1,5.51
2008,4,1,5.55
2008,5,1,5.57
2008,6,1,5.68
2008,7,1,5.67
2008,8,1,5.64
2008,9,1,5.65
2008,10,1,6.28
2008,11,1,6.12
2008,12,1,5.05
2009,1,1,5.05
2009,2,1,5.27
2009,3,1,5.5
2009,4,1,5.39
2009,5,1,5.54
2009,6,1,5.61
2009,7,1,5.41
2009,8,1,5.26
2009,9,1,5.13
2009,10,1,5.15
2009,11,1,5.19
2009,12,1,5.26
2010,1,1,5.26
2010,2,1,5.35
2010,3,1,5.27
2010,4,1,5.29
2010,5,1,4.96
2010,6,1,4.88
2010,7,1,4.72
2010,8,1,4.49
2010,9,1,4.53
2010,10,1,4.68
2010,11,1,4.87
2010,12,1,5.02
2011,1,1,5.04
2011,2,1,5.22
2011,3,1,5.13
2011,4,1,5.16
2011,5,1,4.96
2011,6,1,4.99
2011,7,1,4.93
2011,8,1,4.37
2011,9,1,4.09
2011,10,1,3.98
2011,11,1,3.87
